node_id	reason	capacity	area_3857
8928930879	capacity_suspiciously_high	6	0
6486844673	capacity_suspiciously_high	27	0
6772785743	capacity_suspiciously_high	8	0
9223886531	capacity_suspiciously_high	12	0
6609740576	capacity_suspiciously_high	11	0
4601340650	capacity_suspiciously_high	8	0
9324748774	capacity_suspiciously_high	7	0
4212001415	capacity_suspiciously_high	6	0
4006247778	capacity_suspiciously_high	6	0
4827009121	capacity_suspiciously_high	8	0
6928712319	capacity_suspiciously_high	5	0
1772775433	capacity_suspiciously_high	8	0
7565225531	capacity_suspiciously_high	6	0
4006047181	capacity_suspiciously_high	6	0
4211995489	capacity_suspiciously_high	8	0
9858925705	capacity_suspiciously_high	8	0
3057041837	capacity_suspiciously_high	9	0
6358271047	capacity_suspiciously_high	18	0
9900557886	capacity_suspiciously_high	6	0
7699079042	capacity_suspiciously_high	12	0
5427562740	capacity_suspiciously_high	6	0
9149388327	capacity_suspiciously_high	6	0
9866304497	capacity_suspiciously_high	6	0
9486282871	capacity_suspiciously_high	6	0
10139166784	capacity_suspiciously_high	22	0
9100674520	capacity_suspiciously_high	50	0
3713650117	capacity_suspiciously_high	8	0
8564161586	capacity_suspiciously_high	10	0
4778205873	capacity_suspiciously_high	6	0
8799784522	capacity_suspiciously_high	6	0
9861690747	capacity_suspiciously_high	5	0
4357374648	capacity_suspiciously_high	22	0
8006749816	capacity_suspiciously_high	100	0
5759888205	capacity_suspiciously_high	8	0
9486282872	capacity_suspiciously_high	6	0
7526078136	capacity_suspiciously_high	6	0
4991067362	capacity_suspiciously_high	6	0
2833719901	capacity_suspiciously_high	10	0
9486300435	capacity_suspiciously_high	5	0
10068080917	capacity_suspiciously_high	22	0
10537569507	capacity_suspiciously_high	6	0
6365389252	capacity_suspiciously_high	12	0
10579042102	capacity_suspiciously_high	12	0
2585066827	capacity_suspiciously_high	8	0
3254773862	capacity_suspiciously_high	6	0
9762511097	capacity_suspiciously_high	16	0
6136697625	capacity_suspiciously_high	10	0
9171169318	capacity_suspiciously_high	6	0
8899467135	capacity_suspiciously_high	8	0
7682090068	capacity_suspiciously_high	6	0
9825933386	capacity_suspiciously_high	18	0
10265889849	capacity_suspiciously_high	6	0
10265889850	capacity_suspiciously_high	6	0
8647426980	capacity_suspiciously_high	22	0
5862127846	capacity_suspiciously_high	6	0
6361890368	capacity_suspiciously_high	8	0
5774670188	capacity_suspiciously_high	5	0
8644191301	capacity_suspiciously_high	6	0
1900225766	capacity_suspiciously_high	8	0
9723782384	capacity_suspiciously_high	12	0
9723782382	capacity_suspiciously_high	5	0
5799876432	capacity_suspiciously_high	6	0
9628906460	capacity_suspiciously_high	22	0
10018673316	capacity_suspiciously_high	6	0
9947727495	capacity_suspiciously_high	5	0
8702570263	capacity_suspiciously_high	6	0
7568751522	capacity_suspiciously_high	22	0
9722447129	capacity_suspiciously_high	6	0
9059407958	capacity_suspiciously_high	11	0
9060503487	capacity_suspiciously_high	22	0
9183234844	capacity_suspiciously_high	17	0
9048075965	capacity_suspiciously_high	22	0
9399675960	capacity_suspiciously_high	6	0
7925078468	capacity_suspiciously_high	8	0
10281533720	capacity_suspiciously_high	5	0
4789022521	capacity_suspiciously_high	8	0
4288376180	capacity_suspiciously_high	6	0
10307401948	capacity_suspiciously_high	6	0
7523708170	capacity_suspiciously_high	50	0
4232303386	capacity_suspiciously_high	6	0
6278068905	capacity_suspiciously_high	8	0
9071300804	capacity_suspiciously_high	11	0
8483054087	capacity_suspiciously_high	5	0
6708516380	capacity_suspiciously_high	50	0
8852242361	capacity_suspiciously_high	100	0
9160000638	capacity_suspiciously_high	22	0
9160034114	capacity_suspiciously_high	22	0
9045135807	capacity_suspiciously_high	22	0
9047239661	capacity_suspiciously_high	5	0
9047249147	capacity_suspiciously_high	22	0
9045174330	capacity_suspiciously_high	11	0
9133266167	capacity_suspiciously_high	6	0
9048097263	capacity_suspiciously_high	22	0
10156782198	capacity_suspiciously_high	6	0
8971506448	capacity_suspiciously_high	14	0
10285792634	capacity_suspiciously_high	16	0
3640223752	capacity_suspiciously_high	8	0
9334073062	capacity_suspiciously_high	12	0
9057004115	capacity_suspiciously_high	22	0
9053430082	capacity_suspiciously_high	22	0
8411131735	capacity_suspiciously_high	8	0
8411131736	capacity_suspiciously_high	32	0
5742134468	capacity_suspiciously_high	12	0
6293354585	capacity_suspiciously_high	24	0
9339994763	capacity_suspiciously_high	5	0
9339994765	capacity_suspiciously_high	6	0
4263545955	capacity_suspiciously_high	12	0
9053479439	capacity_suspiciously_high	22	0
8308174831	capacity_suspiciously_high	16	0
8308175688	capacity_suspiciously_high	16	0
9029803927	capacity_suspiciously_high	22	0
9022278567	capacity_suspiciously_high	22	0
9060160604	capacity_suspiciously_high	22	0
9060337184	capacity_suspiciously_high	22	0
8286498002	capacity_suspiciously_high	22	0
8364022809	capacity_suspiciously_high	50	0
8286497991	capacity_suspiciously_high	22	0
9825327039	capacity_suspiciously_high	12	0
9060318158	capacity_suspiciously_high	11	0
5024638107	capacity_suspiciously_high	22	0
6305379655	capacity_suspiciously_high	22	0
7504285791	capacity_suspiciously_high	6	0
9148342942	capacity_suspiciously_high	6	0
9148342941	capacity_suspiciously_high	5	0
9148342939	capacity_suspiciously_high	6	0
9148342940	capacity_suspiciously_high	6	0
9148342938	capacity_suspiciously_high	6	0
8255318048	capacity_suspiciously_high	6	0
6267021382	capacity_suspiciously_high	8	0
6305379656	capacity_suspiciously_high	22	0
10589526108	capacity_suspiciously_high	12	0
6305379654	capacity_suspiciously_high	22	0
8980417074	capacity_suspiciously_high	8	0
10249541652	capacity_suspiciously_high	15	0
9124954738	capacity_suspiciously_high	5	0
7742804137	capacity_suspiciously_high	22	0
8812728216	capacity_suspiciously_high	6	0
4989909620	capacity_suspiciously_high	22	0
7742784645	capacity_suspiciously_high	22	0
7742742551	capacity_suspiciously_high	50	0
7742785625	capacity_suspiciously_high	22	0
7742750346	capacity_suspiciously_high	50	0
9825299542	capacity_suspiciously_high	16	0
9045136299	capacity_suspiciously_high	22	0
7831252262	capacity_suspiciously_high	5	0
10157527361	capacity_suspiciously_high	8	0
5317470758	capacity_suspiciously_high	20	0
9164327788	capacity_suspiciously_high	5	0
7124468782	capacity_suspiciously_high	5	0
6541677452	capacity_suspiciously_high	6	0
9964438594	capacity_suspiciously_high	8	0
5279248693	capacity_suspiciously_high	10	0
3158344804	capacity_suspiciously_high	14	0
3710122275	capacity_suspiciously_high	6	0
9649634924	capacity_suspiciously_high	8	0
10306186950	capacity_suspiciously_high	22	0
6356478479	capacity_suspiciously_high	22	0
10559164768	capacity_suspiciously_high	8	0
6356456399	capacity_suspiciously_high	22	0
9421438395	capacity_suspiciously_high	12	0
9118631493	capacity_suspiciously_high	5	0
9118631492	capacity_suspiciously_high	5	0
8294002137	capacity_suspiciously_high	11	0
10108019049	capacity_suspiciously_high	5	0
